단어,점수
윤,630
특검,538
재난,529
나토,522
이재명,444
윤석열,442
체포영장,410
치료,390
협동조합,370
지급,364
nba 파이널,325
송미령,325
강선우,325
광주 대 대전,325
윤성빈,325
소득,316
사랑,312
평가,310
이란,304
시정,292
미국,292
감독,288
택시,288
청구,286
오전,278
비,276
강남,275
귀농,274
귀촌,274
지난해,265
교육감,264
티몬,260
지연,259
처,258
확보,256
대한,256
홍기,255
의원,248
후원,246
구속,243
회부,240
핵,236
대구,236
광명,234
법,230
공원,230
통보,229
세월,224
농업,222
배우,220
문의,218
상품권,217
향후,214
군,214
서울,212
데,212
한국,210
전남,209
수술,208
서초,208
광주,204
열애,204
진행,203
외환,202
악수,200
무릎,200
해피머니,200
총,198
설명,198
최종,198
손흥민,198
재판,197
주사,196
장덕,196
오른쪽,196
통증,196
본원,196
고현정,194
최대,194
청주시,192
자연,192
피,192
측은,191
관계자,191
합의,190
민주당,190
왼쪽,190
이체,188
시도,185
정치,185
이전,185
규모,184
신병,184
준비,184
광장,182
정청래,182
금,181
게임,180
익명,178
라인,178
이외,178
혜,178
혜제,178
추가경정예산,178
처리,178
마포구,178
구독료,178
출석,176
예정,176
현장,176
재혼,176
위반,175
이명현,174
돈,174
사태,174
결정,173
비판,173
피니언,172
취소,172
보호책임,172
도입,172
창간,172
운영,170
가구,170
원,170
본부,170
차례,170
취재,170
경우,169
손,167
앞,166
기각,166
납품,166
반복,166
대통령,166
가격,166
공개,164
김봉규,164
전북,164
투자,164
서교동,164
영향,164
진주,164
정착,164
조윤희,164
선거,164
층,163
용,162
여러,162
마련,161
무심천,160
쓰기,160
시사,160
물,160
효과,158
사진,158
종합,158
등장,158
개인,157
결제,156
구조,156
발전,156
식별,156
국제,156
교통,156
김용현,155
이적,154
목적,154
러닝,154
계좌,154
산국,152
자리,152
이용식,152
울산,152
수교,152
분석,152
점,152
선고,150
업체,150
트럼프,150
거래,149
성장,148
양화로,148
지주회사,148
경북,148
홈,148
직,148
직접,146
특별검사,146
사망,146
직후,146
콘텐츠,146
여제,144
코르,144
응원,144
티나,144
밀라노,144
피겨,144
김연아,144
감축,142
박,142
물놀이,142
판결,142
의도,141
중심,139
공습,139
그룹,138
단지,138
이동건,138
심,138
화,138
전국,137
강제,137
확대,136
포인트,136
만큼,136
시작,135
대응,135
논란,134
토트넘,134
선,132
예산,132
지속,132
대비,131
미래,131
리베라토,130
우리,130
웬디,130
경남 대 수원,130
원미경,130
석,130
삭제,130
박찬대,130
김천상무 대 안양,130
빠니보틀 연애,130
rb 잘츠부르크 대 알힐랄,130
액,130
차,130
레알 마드리드 대 파추카,130
안규백,130
맨 시티 대 알아인,130
오아시스,130
이벤트,128
박정수,128
기업,128
올해,126
시청자,126
추경,126
전현무,126
하나,126
자평,126
김건희,125
정부,125
재생,124
요약,124
신문,123
이유,122
의사,122
방침,122
채,122
사의,122
속도,122
하동,122
자신,122
개,122
비상계엄,122
탄력,122
광명시,122
순찰,122
정상,121
신봉선,120
회생,120
기성용,120
온실가스,120
민생,120
서장훈,120
이용권,120
순위,120
면담,120
단체,120
서부,120
교체,120
인수,120
실시,119
전략,119
추진,118
소속,118
장려,118
구미,118
현재,118
시즌,118
현대,117
개발,117
통합,117
법원,116
과정,116
실질,116
크루,116
박찬,116
호선,115
편법,114
의심,114
